country,year,total_hourly_pay_for_time_worked
irl,2009,27.350000381469727
irl,2010,26.1299991607666
irl,2011,27.06999969482422
irl,2012,25.459999084472656
irl,2013,26.31999969482422
isr,1996,8.399999618530273
isr,1997,8.930000305175781
isr,1998,8.949999809265137
isr,1999,8.859999656677246
isr,2000,9.529999732971191
isr,2001,10.029999732971191
isr,2002,9.029999732971191
isr,2003,9.59000015258789
isr,2004,9.899999618530273
isr,2005,10.15999984741211
isr,2006,10.600000381469727
isr,2007,12.010000228881836
isr,2008,14.3100004196167
isr,2009,13.40999984741211
isr,2010,14.670000076293945
isr,2011,15.949999809265137
isr,2012,15.220000267028809
isr,2013,16.790000915527344
ita,1996,10.65999984741211
ita,1997,10.039999961853027
ita,1998,10.130000114440918
ita,1999,9.899999618530273
ita,2000,8.739999771118164
ita,2001,8.920000076293945
ita,2002,9.930000305175781
ita,2003,12.59000015258789
ita,2004,14.680000305175781
ita,2005,15.140000343322754
ita,2006,15.819999694824219
ita,2007,17.790000915527344
ita,2008,19.729999542236328
ita,2009,19.110000610351562
ita,2010,18.520000457763672
ita,2011,19.700000762939453
ita,2012,18.440000534057617
ita,2013,19.420000076293945
jpn,1996,13.279999732971191
jpn,1997,12.270000457763672
jpn,1998,11.550000190734863
jpn,1999,13.380000114440918
jpn,2000,14.140000343322754
jpn,2001,12.670000076293945
jpn,2002,12.289999961853027
jpn,2003,13.359999656677246
jpn,2004,14.3100004196167
jpn,2005,14.15999984741211
jpn,2006,13.4399995803833
jpn,2007,13.300000190734863
jpn,2008,15.390000343322754
jpn,2009,17.229999542236328
jpn,2010,18.170000076293945
jpn,2011,20.15999984741211
jpn,2012,20.1299991607666
jpn,2013,16.510000228881836
nld,1997,12.949999809265137
nld,1998,13.5600004196167
nld,1999,13.720000267028809
nld,2000,12.520000457763672
nld,2001,12.720000267028809
nld,2002,13.899999618530273
nld,2003,17.200000762939453
nld,2004,19.190000534057617
nld,2005,19.360000610351562
nld,2006,19.969999313354492
nld,2007,22.239999771118164
nld,2008,24.610000610351562
nld,2009,23.729999542236328
nld,2010,22.770000457763672
nld,2011,24.270000457763672
nld,2012,22.790000915527344
nld,2013,24.3799991607666
nzl,1996,10.329999923706055
nzl,1997,10.279999732971191
nzl,1998,8.5600004196167
nzl,1999,8.680000305175781
nzl,2000,7.670000076293945
nzl,2001,7.320000171661377
nzl,2002,8.34000015258789
nzl,2003,10.770000457763672
nzl,2004,12.649999618530273
nzl,2005,13.90999984741211
nzl,2006,13.399999618530273
nzl,2007,15.84000015258789
nzl,2008,15.84000015258789
nzl,2009,14.479999542236328
nzl,2010,17.270000457763672
nzl,2011,19.649999618530273
nzl,2012,20.860000610351562
nzl,2013,21.649999618530273
phl,1996,0.9700000286102295
phl,1997,0.9200000166893005
phl,1998,0.699999988079071
phl,1999,0.7699999809265137
phl,2000,0.7300000190734863
phl,2001,0.7099999785423279
phl,2002,0.7400000095367432
phl,2003,0.7400000095367432
phl,2004,0.7900000214576721
phl,2005,0.8700000047683716
phl,2006,0.9800000190734863
phl,2007,1.1699999570846558
phl,2008,1.2799999713897705
phl,2009,1.25
phl,2010,1.3799999952316284
phl,2011,1.4800000190734863
phl,2012,1.5499999523162842
phl,2013,1.5800000429153442
pol,1997,1.5399999618530273
pol,1998,1.6799999475479126
pol,1999,2.0199999809265137
pol,2000,2.009999990463257
pol,2001,2.309999942779541
pol,2002,2.4100000858306885
pol,2003,2.609999895095825
pol,2004,2.8499999046325684
pol,2005,3.3499999046325684
pol,2006,3.7200000286102295
pol,2007,4.610000133514404
pol,2008,5.829999923706055
pol,2009,4.710000038146973
pol,2010,5.090000152587891
pol,2011,5.440000057220459
pol,2012,5.190000057220459
pol,2013,5.539999961853027
prt,1996,4.300000190734863
prt,1997,3.880000114440918
prt,1998,3.990000009536743
prt,1999,3.930000066757202
prt,2000,3.509999990463257
prt,2001,3.630000114440918
prt,2002,4.039999961853027
prt,2003,5.0
prt,2004,5.71999979019165
prt,2005,5.869999885559082
prt,2006,6.110000133514404
prt,2007,6.849999904632568
prt,2008,7.619999885559082
prt,2009,7.5
prt,2010,7.260000228881836
prt,2011,7.980000019073486
prt,2012,7.440000057220459
prt,2013,7.739999771118164
sgp,1996,7.360000133514404
sgp,1997,7.559999942779541
sgp,1998,7.329999923706055
sgp,1999,7.5
sgp,2000,7.920000076293945
sgp,2001,8.180000305175781
sgp,2002,8.130000114440918
sgp,2003,8.529999732971191
sgp,2004,8.90999984741211
sgp,2005,9.010000228881836
sgp,2006,9.260000228881836
sgp,2007,10.449999809265137
sgp,2008,12.539999961853027
sgp,2009,11.640000343322754
sgp,2010,12.670000076293945
sgp,2011,14.989999771118164
sgp,2012,15.699999809265137
sgp,2013,15.729999542236328
svk,1996,1.3600000143051147
svk,1997,1.409999966621399
svk,1998,1.409999966621399
svk,1999,1.2999999523162842
svk,2000,1.2799999713897705
svk,2001,1.350000023841858
svk,2002,1.659999966621399
svk,2003,2.25
svk,2004,2.7300000190734863
svk,2005,3.059999942779541
svk,2006,3.430000066757202
svk,2007,4.440000057220459
svk,2008,5.599999904632568
svk,2009,5.829999923706055
svk,2010,5.78000020980835
svk,2011,6.360000133514404
svk,2012,6.099999904632568
svk,2013,6.570000171661377
esp,1996,8.649999618530273
esp,1997,7.800000190734863
esp,1998,7.900000095367432
esp,1999,7.760000228881836
esp,2000,6.900000095367432
esp,2001,6.929999828338623
esp,2002,7.619999885559082
esp,2003,9.529999732971191
esp,2004,10.789999961853027
esp,2005,11.300000190734863
esp,2006,11.869999885559082
esp,2007,13.460000038146973
esp,2008,15.130000114440918
esp,2009,15.0
esp,2010,14.4399995803833
esp,2011,15.489999771118164
esp,2012,14.489999771118164
esp,2013,15.199999809265137
swe,1996,16.239999771118164
swe,1997,14.890000343322754
swe,1998,14.930000305175781
swe,1999,14.630000114440918
swe,2000,13.680000305175781
swe,2001,12.6899995803833
swe,2002,14.149999618530273
swe,2003,17.579999923706055
swe,2004,19.6200008392334
swe,2005,19.950000762939453
swe,2006,20.860000610351562
swe,2007,23.84000015258789
swe,2008,25.389999389648438
swe,2009,23.09000015258789
swe,2010,24.610000610351562
swe,2011,27.989999771118164
swe,2012,28.190000534057617
swe,2013,30.030000686645508
che,1996,23.709999084472656
che,1997,20.309999465942383
che,1998,20.690000534057617
che,1999,19.780000686645508
che,2000,17.989999771118164
che,2001,18.600000381469727
che,2002,20.360000610351562
che,2003,24.229999542236328
che,2004,26.1299991607666
che,2005,26.270000457763672
che,2006,26.40999984741211
che,2007,28.079999923706055
che,2008,31.690000534057617
che,2009,32.81999969482422
che,2010,33.779998779296875
che,2011,39.91999816894531
che,2012,38.38999938964844
che,2013,39.619998931884766
gbr,1996,11.890000343322754
gbr,1997,12.970000267028809
gbr,1998,13.9399995803833
gbr,1999,14.210000038146973
gbr,2000,13.760000228881836
gbr,2001,14.170000076293945
gbr,2002,15.489999771118164
gbr,2003,18.0
gbr,2004,20.889999389648438
gbr,2005,21.670000076293945
gbr,2006,22.639999389648438
gbr,2007,25.440000534057617
gbr,2008,24.3799991607666
