country,year,total_hourly_directly_paid_benefits
jpn,2010,7.840000152587891
jpn,2011,9.050000190734863
jpn,2012,8.819999694824219
jpn,2013,7.340000152587891
nld,1997,4.340000152587891
nld,1998,4.489999771118164
nld,1999,4.489999771118164
nld,2000,4.050000190734863
nld,2001,4.139999866485596
nld,2002,4.550000190734863
nld,2003,5.670000076293945
nld,2004,6.369999885559082
nld,2005,6.610000133514404
nld,2006,7.010000228881836
nld,2007,8.029999732971191
nld,2008,9.130000114440918
nld,2009,8.670000076293945
nld,2010,8.1899995803833
nld,2011,8.600000381469727
nld,2012,7.949999809265137
nld,2013,8.5
nzl,1996,1.340000033378601
nzl,1997,1.3300000429153442
nzl,1998,1.1100000143051147
nzl,1999,1.1299999952316284
nzl,2000,1.0
nzl,2001,0.9599999785423279
nzl,2002,1.100000023841858
nzl,2003,1.4299999475479126
nzl,2004,1.6299999952316284
nzl,2005,1.7999999523162842
nzl,2006,1.809999942779541
nzl,2007,2.309999942779541
nzl,2008,2.359999895095825
nzl,2009,2.049999952316284
nzl,2010,2.359999895095825
nzl,2011,2.690000057220459
nzl,2012,3.049999952316284
nzl,2013,3.1600000858306885
phl,1996,0.20999999344348907
phl,1997,0.20000000298023224
phl,1998,0.15000000596046448
phl,1999,0.17000000178813934
phl,2000,0.17000000178813934
phl,2001,0.17000000178813934
phl,2002,0.18000000715255737
phl,2003,0.18000000715255737
phl,2004,0.1899999976158142
phl,2005,0.20999999344348907
phl,2006,0.23000000417232513
phl,2007,0.27000001072883606
phl,2008,0.30000001192092896
phl,2009,0.28999999165534973
phl,2010,0.3199999928474426
phl,2011,0.3499999940395355
phl,2012,0.36000001430511475
phl,2013,0.3700000047683716
pol,1997,0.6800000071525574
pol,1998,0.7400000095367432
pol,1999,0.8899999856948853
pol,2000,0.8899999856948853
pol,2001,1.0099999904632568
pol,2002,1.0399999618530273
pol,2003,1.1100000143051147
pol,2004,1.190000057220459
pol,2005,1.399999976158142
pol,2006,1.5499999523162842
pol,2007,1.9199999570846558
pol,2008,2.430000066757202
pol,2009,1.940000057220459
pol,2010,2.059999942779541
pol,2011,2.1600000858306885
pol,2012,2.0299999713897705
pol,2013,2.1700000762939453
prt,1996,1.2799999713897705
prt,1997,1.2100000381469727
prt,1998,1.2899999618530273
prt,1999,1.3300000429153442
prt,2000,1.2300000190734863
prt,2001,1.2100000381469727
prt,2002,1.2799999713897705
prt,2003,1.5
prt,2004,1.6100000143051147
prt,2005,1.7000000476837158
prt,2006,1.8300000429153442
prt,2007,2.0999999046325684
prt,2008,2.4000000953674316
prt,2009,2.4000000953674316
prt,2010,2.359999895095825
prt,2011,2.640000104904175
prt,2012,2.490000009536743
prt,2013,2.5999999046325684
sgp,1996,1.9199999570846558
sgp,1997,1.9500000476837158
sgp,1998,1.7699999809265137
sgp,1999,1.8899999856948853
sgp,2000,1.9900000095367432
sgp,2001,2.059999942779541
sgp,2002,2.059999942779541
sgp,2003,2.1700000762939453
sgp,2004,2.2899999618530273
sgp,2005,2.3399999141693115
sgp,2006,2.5
sgp,2007,2.9200000762939453
sgp,2008,3.4100000858306885
sgp,2009,3.069999933242798
sgp,2010,3.5999999046325684
sgp,2011,4.300000190734863
sgp,2012,4.420000076293945
sgp,2013,4.230000019073486
svk,1996,0.5199999809265137
svk,1997,0.5400000214576721
svk,1998,0.6000000238418579
svk,1999,0.5299999713897705
svk,2000,0.550000011920929
svk,2001,0.5799999833106995
svk,2002,0.6399999856948853
svk,2003,0.8299999833106995
svk,2004,1.0499999523162842
svk,2005,1.1799999475479126
svk,2006,1.3200000524520874
svk,2007,1.7300000190734863
svk,2008,2.130000114440918
svk,2009,2.1700000762939453
svk,2010,1.9900000095367432
svk,2011,2.200000047683716
svk,2012,2.2300000190734863
svk,2013,2.4000000953674316
esp,1996,2.9000000953674316
esp,1997,2.630000114440918
esp,1998,2.680000066757202
esp,1999,2.6600000858306885
esp,2000,2.380000114440918
esp,2001,2.4200000762939453
esp,2002,2.700000047683716
esp,2003,3.430000066757202
esp,2004,3.940000057220459
esp,2005,4.099999904632568
esp,2006,4.28000020980835
esp,2007,4.820000171661377
esp,2008,5.380000114440918
esp,2009,5.389999866485596
esp,2010,5.239999771118164
