country,year,total_hourly_direct_pay_as_percentage_of_total_hourly_compensation_costs
pol,2008,84.19999694824219
pol,2009,83.5999984741211
pol,2010,84.5
pol,2011,83.9000015258789
pol,2012,83.4000015258789
pol,2013,83.4000015258789
prt,1996,78.69999694824219
prt,1997,79.0999984741211
prt,1998,79.5
prt,1999,79.9000015258789
prt,2000,80.30000305175781
prt,2001,80.19999694824219
prt,2002,80.0999984741211
prt,2003,79.9000015258789
prt,2004,79.80000305175781
prt,2005,79.9000015258789
prt,2006,80.0999984741211
prt,2007,80.19999694824219
prt,2008,80.30000305175781
prt,2009,80.30000305175781
prt,2010,80.19999694824219
prt,2011,80.19999694824219
prt,2012,80.19999694824219
prt,2013,80.19999694824219
sgp,1996,77.80000305175781
sgp,1997,78.19999694824219
sgp,1998,79.5
sgp,1999,85.19999694824219
sgp,2000,84.5
sgp,2001,83.9000015258789
sgp,2002,83.9000015258789
sgp,2003,84.0
sgp,2004,84.9000015258789
sgp,2005,85.80000305175781
sgp,2006,85.4000015258789
sgp,2007,85.0999984741211
sgp,2008,84.5
sgp,2009,83.9000015258789
sgp,2010,83.80000305175781
sgp,2011,83.5
sgp,2012,83.30000305175781
sgp,2013,83.30000305175781
svk,1996,68.9000015258789
svk,1997,68.9000015258789
svk,1998,69.5999984741211
svk,1999,70.80000305175781
svk,2000,70.5999984741211
svk,2001,71.9000015258789
svk,2002,71.0999984741211
svk,2003,70.30000305175781
svk,2004,72.5999984741211
svk,2005,72.80000305175781
svk,2006,72.4000015258789
svk,2007,72.30000305175781
svk,2008,72.0999984741211
svk,2009,71.4000015258789
svk,2010,72.5
svk,2011,72.9000015258789
svk,2012,72.9000015258789
svk,2013,72.9000015258789
esp,1996,74.5999984741211
esp,1997,74.69999694824219
esp,1998,74.80000305175781
esp,1999,74.9000015258789
esp,2000,75.0
esp,2001,74.9000015258789
esp,2002,74.80000305175781
esp,2003,74.69999694824219
esp,2004,74.4000015258789
esp,2005,74.30000305175781
esp,2006,74.19999694824219
