country,year,hourly_compensation_costs
esp,2001,12.479999542236328
esp,2002,13.789999961853027
esp,2003,17.3700008392334
esp,2004,19.790000915527344
esp,2005,20.709999084472656
esp,2006,21.770000457763672
esp,2007,24.75
esp,2008,27.600000381469727
esp,2009,27.770000457763672
esp,2010,26.610000610351562
esp,2011,28.350000381469727
esp,2012,26.850000381469727
esp,2013,28.09000015258789
swe,1996,27.15999984741211
swe,1997,25.040000915527344
swe,1998,25.209999084472656
swe,1999,24.8700008392334
swe,2000,23.43000030517578
swe,2001,21.940000534057617
swe,2002,24.540000915527344
swe,2003,30.989999771118164
swe,2004,34.72999954223633
swe,2005,35.380001068115234
swe,2006,36.52000045776367
swe,2007,42.59000015258789
swe,2008,44.38999938964844
swe,2009,40.540000915527344
swe,2010,42.689998626708984
swe,2011,48.02000045776367
swe,2012,48.16999816894531
swe,2013,51.099998474121094
che,1996,35.529998779296875
che,1997,30.43000030517578
che,1998,31.0
che,1999,29.639999389648438
che,2000,26.950000762939453
che,2001,28.110000610351562
che,2002,31.059999465942383
che,2003,36.75
che,2004,39.38999938964844
che,2005,40.130001068115234
che,2006,40.880001068115234
che,2007,43.5099983215332
che,2008,49.16999816894531
che,2009,50.290000915527344
che,2010,51.119998931884766
che,2011,60.400001525878906
che,2012,61.279998779296875
che,2013,63.22999954223633
twn,1996,7.099999904632568
twn,1997,7.070000171661377
twn,1998,6.349999904632568
twn,1999,6.800000190734863
twn,2000,7.309999942779541
twn,2001,7.159999847412109
twn,2002,6.829999923706055
twn,2003,6.960000038146973
twn,2004,7.269999980926514
twn,2005,7.920000076293945
twn,2006,8.050000190734863
twn,2007,8.180000305175781
twn,2008,8.6899995803833
twn,2009,7.769999980926514
twn,2010,8.3100004196167
twn,2011,9.279999732971191
twn,2012,9.390000343322754
twn,2013,9.369999885559082
gbr,1996,17.770000457763672
gbr,1997,19.299999237060547
gbr,1998,20.670000076293945
gbr,1999,21.299999237060547
gbr,2000,20.6299991607666
gbr,2001,20.690000534057617
gbr,2002,22.030000686645508
gbr,2003,25.1200008392334
gbr,2004,28.469999313354492
gbr,2005,29.690000534057617
gbr,2006,31.170000076293945
gbr,2007,35.209999084472656
gbr,2008,33.90999984741211
gbr,2009,29.25
gbr,2010,28.989999771118164
gbr,2011,30.540000915527344
gbr,2012,30.8700008392334
gbr,2013,31.0
usa,1996,22.459999084472656
usa,1997,23.040000915527344
usa,1998,23.479999542236328
usa,1999,24.010000228881836
usa,2000,24.950000762939453
usa,2001,26.209999084472656
usa,2002,27.350000381469727
usa,2003,28.559999465942383
usa,2004,29.299999237060547
usa,2005,30.1299991607666
usa,2006,30.469999313354492
usa,2007,32.06999969482422
usa,2008,32.779998779296875
usa,2009,34.189998626708984
usa,2010,34.75
usa,2011,35.5
usa,2012,35.63999938964844
usa,2013,36.34000015258789
