country,year,index_of_hourly_compensation_costs_us_100
esp,2004,68
esp,2005,69
esp,2006,71
esp,2007,77
esp,2008,84
esp,2009,81
esp,2010,77
esp,2011,80
esp,2012,75
esp,2013,77
swe,1996,121
swe,1997,109
swe,1998,107
swe,1999,104
swe,2000,94
swe,2001,84
swe,2002,90
swe,2003,109
swe,2004,119
swe,2005,117
swe,2006,120
swe,2007,133
swe,2008,135
swe,2009,119
swe,2010,123
swe,2011,135
swe,2012,135
swe,2013,141
che,1996,158
che,1997,132
che,1998,132
che,1999,123
che,2000,108
che,2001,107
che,2002,114
che,2003,129
che,2004,134
che,2005,133
che,2006,134
che,2007,136
che,2008,150
che,2009,147
che,2010,147
che,2011,170
che,2012,172
che,2013,174
twn,1996,32
twn,1997,31
twn,1998,27
twn,1999,28
twn,2000,29
twn,2001,27
twn,2002,25
twn,2003,24
twn,2004,25
twn,2005,26
twn,2006,26
twn,2007,26
twn,2008,27
twn,2009,23
twn,2010,24
twn,2011,26
twn,2012,26
twn,2013,26
gbr,1996,79
gbr,1997,84
gbr,1998,88
gbr,1999,89
gbr,2000,83
gbr,2001,79
gbr,2002,81
gbr,2003,88
gbr,2004,97
gbr,2005,99
gbr,2006,102
gbr,2007,110
gbr,2008,103
gbr,2009,86
gbr,2010,83
gbr,2011,86
gbr,2012,87
gbr,2013,85
usa,1996,100
usa,1997,100
usa,1998,100
usa,1999,100
usa,2000,100
usa,2001,100
usa,2002,100
usa,2003,100
usa,2004,100
usa,2005,100
usa,2006,100
usa,2007,100
usa,2008,100
usa,2009,100
usa,2010,100
usa,2011,100
usa,2012,100
usa,2013,100
